33ffffef_39b504ee00000000_10000_0 | 39b504ee_1
40bd29b7_401b9ad500000000_10000_0 | 401b9ad5_1
33ffffdf_39b504e800000000_10000_0 | 39b504e8_1
33ffffbf_39b504dd00000000_10000_0 | 39b504dd_1
33ffff7f_39b504c600000000_10000_0 | 39b504c6_1
33fffeff_39b5049900000000_10000_0 | 39b50499_1
3d900008_3e87c3bb00000000_10000_0 | 3e87c3bb_1
33fffdff_39b5043e00000000_10000_0 | 39b5043e_1
33fffbff_39b5038900000000_10000_0 | 39b50389_1
33fff7ff_39b5021f00000000_10000_0 | 39b5021f_1
33ffefff_39b4ff4b00000000_10000_0 | 39b4ff4b_1
3e2bbe4e_3ed1ae7300000000_10000_0 | 3ed1ae73_1
33ffdfff_39b4f9a300000000_10000_0 | 39b4f9a3_1
2c82ffff_36017dc700000000_10000_0 | 36017dc7_1
33ffbfff_39b4ee5100000000_10000_0 | 39b4ee51_1
3dffff80_3eb504c600000000_10000_0 | 3eb504c6_1
33ff7fff_39b4d7ac00000000_10000_0 | 39b4d7ac_1
7e87fdff_5f03ef8300000000_10000_0 | 5f03ef83_1
33feffff_39b4aa5a00000000_10000_0 | 39b4aa5a_1
5e7ffbfb_4efffdfe00000000_10000_0 | 4efffdfe_1
33fdffff_39b44f9400000000_10000_0 | 39b44f94_1
33fbffff_39b3997d00000000_10000_0 | 39b3997d_1
3fbb6efd_3f9ae45300000000_10000_0 | 3f9ae453_1
33f7ffff_39b22b2000000000_10000_0 | 39b22b20_1
33efffff_39af456f00000000_10000_0 | 39af456f_1
3d000028_3e35051000000000_10000_0 | 3e350510_1
33dfffff_39a953fd00000000_10000_0 | 39a953fd_1
33bfffff_399cc47100000000_10000_0 | 399cc471_1
339fffff_398f1bbd00000000_10000_0 | 398f1bbd_1
41000076_4035054700000000_10000_0 | 40350547_1
338fffff_3987c3b600000000_10000_0 | 3987c3b6_1
4fe061ba_47a978ea00000000_10000_0 | 47a978ea_1
3387ffff_3983f07b00000000_10000_0 | 3983f07b_1
3383ffff_3981fc1000000000_10000_0 | 3981fc10_1
3381ffff_3980ff0200000000_10000_0 | 3980ff02_1
3c6426f6_3df1ace200000000_10000_0 | 3df1ace2_1
3380ffff_39807fc000000000_10000_0 | 39807fc0_1
7cfdeffe_5e3449e500000000_10000_0 | 5e3449e5_1
33807fff_39803ff000000000_10000_0 | 39803ff0_1
33803fff_39801ffc00000000_10000_0 | 39801ffc_1
33801fff_39800fff00000000_10000_0 | 39800fff_1
33800fff_3980080000000000_10000_0 | 39800800_1
338007ff_3980040000000000_10000_0 | 39800400_1
01007ffb_20355f5c00000000_10000_0 | 20355f5c_1
