5e7ffbfb_4efffdfd00000000_10000_0 | 4efffdfd_1
33fdffff_39b44f9300000000_10000_0 | 39b44f93_1
33fbffff_39b3997c00000000_10000_0 | 39b3997c_1
3fbb6efd_3f9ae45200000000_10000_0 | 3f9ae452_1
33f7ffff_39b22b1f00000000_10000_0 | 39b22b1f_1
33efffff_39af456e00000000_10000_0 | 39af456e_1
3d000028_3e35050f00000000_10000_0 | 3e35050f_1
33dfffff_39a953fc00000000_10000_0 | 39a953fc_1
33bfffff_399cc47000000000_10000_0 | 399cc470_1
339fffff_398f1bbc00000000_10000_0 | 398f1bbc_1
41000076_4035054600000000_10000_0 | 40350546_1
338fffff_3987c3b500000000_10000_0 | 3987c3b5_1
4fe061ba_47a978e900000000_10000_0 | 47a978e9_1
3387ffff_3983f07a00000000_10000_0 | 3983f07a_1
3383ffff_3981fc0f00000000_10000_0 | 3981fc0f_1
3381ffff_3980ff0100000000_10000_0 | 3980ff01_1
3c6426f6_3df1ace100000000_10000_0 | 3df1ace1_1
3380ffff_39807fbf00000000_10000_0 | 39807fbf_1
7cfdeffe_5e3449e400000000_10000_0 | 5e3449e4_1
33807fff_39803fef00000000_10000_0 | 39803fef_1
33803fff_39801ffb00000000_10000_0 | 39801ffb_1
33801fff_39800ffe00000000_10000_0 | 39800ffe_1
33800fff_398007ff00000000_10000_0 | 398007ff_1
338007ff_398003ff00000000_10000_0 | 398003ff_1
01007ffb_20355f5b00000000_10000_0 | 20355f5b_1
338003ff_398001ff00000000_10000_0 | 398001ff_1
338001ff_398000ff00000000_10000_0 | 398000ff_1
3fffffc2_3fb504dd00000000_10000_0 | 3fb504dd_1
338000ff_3980007f00000000_10000_0 | 3980007f_1
3380007f_3980003f00000000_10000_0 | 3980003f_1
34008400_39b5623100000000_10000_0 | 39b56231_1
3380003f_3980001f00000000_10000_0 | 3980001f_1
3380001f_3980000f00000000_10000_0 | 3980000f_1
3380000f_3980000700000000_10000_0 | 39800007_1
5da5bbf7_4e91a67300000000_10000_0 | 4e91a673_1
33800007_3980000300000000_10000_0 | 39800003_1
33800003_3980000100000000_10000_0 | 39800001_1
0d80013e_2680009e00000000_10000_0 | 2680009e_1
3d800000_3e80000000000000_00000_0 | 3e800000_1
3d800001_3e80000000000000_10000_0 | 3e800000_1
39ffff07_3cb5049b00000000_10000_0 | 3cb5049b_1
3d800002_3e80000000000000_10000_0 | 3e800000_1
3d800004_3e80000100000000_10000_0 | 3e800001_1
33a9d9db_399372b300000000_10000_0 | 399372b3_1
3d800008_3e80000300000000_10000_0 | 3e800003_1
3d800010_3e80000700000000_10000_0 | 3e800007_1
3d800020_3e80000f00000000_10000_0 | 3e80000f_1
4f80000b_4780000500000000_10000_0 | 47800005_1
3d800040_3e80001f00000000_10000_0 | 3e80001f_1
3d800080_3e80003f00000000_10000_0 | 3e80003f_1
1f7f8008_2f7fbffb00000000_10000_0 | 2f7fbffb_1
3d800100_3e80007f00000000_10000_0 | 3e80007f_1
3d9ff7ff_3e8f182800000000_10000_0 | 3e8f1828_1
3d800200_3e8000ff00000000_10000_0 | 3e8000ff_1
3f8008ff_3f80047f00000000_10000_0 | 3f80047f_1
3d800400_3e8001ff00000000_10000_0 | 3e8001ff_1
3d800800_3e8003ff00000000_10000_0 | 3e8003ff_1
52fffff9_493504f000000000_10000_0 | 493504f0_1
3d801000_3e8007ff00000000_10000_0 | 3e8007ff_1
45e68d66_42abc96a00000000_10000_0 | 42abc96a_1
3d802000_3e800fff00000000_10000_0 | 3e800fff_1
3d804000_3e801ffc00000000_10000_0 | 3e801ffc_1
3d808000_3e803ff000000000_10000_0 | 3e803ff0_1
4bcb12ef_45a1399200000000_10000_0 | 45a13992_1
3d810000_3e807fc000000000_10000_0 | 3e807fc0_1
3d820000_3e80ff0100000000_10000_0 | 3e80ff01_1
3d840000_3e81fc0f00000000_10000_0 | 3e81fc0f_1
3d880000_3e83f07b00000000_10000_0 | 3e83f07b_1
3d900000_3e87c3b600000000_10000_0 | 3e87c3b6_1
64005ffe_51b548c600000000_10000_0 | 51b548c6_1
3da00000_3e8f1bbc00000000_10000_0 | 3e8f1bbc_1
3dc00000_3e9cc47000000000_10000_0 | 3e9cc470_1
3de00000_3ea953fd00000000_10000_0 | 3ea953fd_1
3df00000_3eaf456e00000000_10000_0 | 3eaf456e_1
4cfde760_463446d500000000_10000_0 | 463446d5_1
3df80000_3eb22b2000000000_10000_0 | 3eb22b20_1
3dfc0000_3eb3997c00000000_10000_0 | 3eb3997c_1
3dfe0000_3eb44f9300000000_10000_0 | 3eb44f93_1
5e600004_4eef775200000000_10000_0 | 4eef7752_1
3dff0000_3eb4aa5a00000000_10000_0 | 3eb4aa5a_1
3d9b6f91_3e8d0d6a00000000_10000_0 | 3e8d0d6a_1
3dff8000_3eb4d7ac00000000_10000_0 | 3eb4d7ac_1
3dffc000_3eb4ee5100000000_10000_0 | 3eb4ee51_1
3dffe000_3eb4f9a200000000_10000_0 | 3eb4f9a2_1
3dfff000_3eb4ff4a00000000_10000_0 | 3eb4ff4a_1
3dfff800_3eb5021f00000000_10000_0 | 3eb5021f_1
3dfffc00_3eb5038900000000_10000_0 | 3eb50389_1
3dfffe00_3eb5043e00000000_10000_0 | 3eb5043e_1
4e7effff_46ff7fdf00000000_10000_0 | 46ff7fdf_1
3dffff00_3eb5049800000000_10000_0 | 3eb50498_1
3f71a699_3f78b8d000000000_10000_0 | 3f78b8d0_1
3dffff80_3eb504c500000000_10000_0 | 3eb504c5_1
3dffffc0_3eb504dc00000000_10000_0 | 3eb504dc_1
