41fff040_bcff7fee_c4803845_xxxxx_x | c4803845_1
df83ffc0_bd03fdfe_620001b4_xxxxx_x | 620001b4_1
c100023f_33ffffff_cc80023f_xxxxx_x | cc800240_0
de807e00_c1eff7ff_5c091381_xxxxx_x | 5c091381_1
df01dfff_442edfbe_da3e201d_xxxxx_x | da3e201d_1
bb780000_33fffffe_c6f80002_xxxxx_x | c6f80002_1
747fff6f_40449a3c_73a6ab7f_xxxxx_x | 73a6ab7f_1
be8ee0a8_bcffff87_410ee0ec_xxxxx_x | 410ee0ec_1
41e01ffe_bfff3fff_c160c896_xxxxx_x | c160c895_0
3fa1dff2_3e800000_40a1dff2_xxxxx_x | 40a1dff2_1
c23bfffe_572c0181_aa8be6f5_xxxxx_x | aa8be6f5_1
41fbcc47_c0000fdf_c17bad12_xxxxx_x | c17bad12_1
41080020_4bdef714_349c2689_xxxxx_x | 349c2689_1
4e800810_3e800001_4f80080f_xxxxx_x | 4f80080f_1
41000004_c6900200_b9e38b17_xxxxx_x | b9e38b17_1
3efdb267_c07fdff7_bdfdd22a_xxxxx_x | bdfdd22a_1
bffffe0f_4ff77fff_af84645d_xxxxx_x | af84645d_1
cbf7fbff_3effffff_cc77fc00_xxxxx_x | cc77fc00_1
de1141aa_cec00400_4ec1a8da_xxxxx_x | 4ec1a8da_1
cb1fffff_aeff0002_5ba0a09e_xxxxx_x | 5ba0a09e_1
bf004200_3efffffe_bf804201_xxxxx_x | bf804201_1
810bffff_989ffffe_27e00001_xxxxx_x | 27e00001_1
57ffd7ff_da000084_bd7fd6f7_xxxxx_x | bd7fd6f7_1
bf07ffef_8103fffb_7d83e0ed_xxxxx_x | 7d83e0ed_1
5f00803f_3f000000_5f80803f_xxxxx_x | 5f80803f_1
5e4bf356_3e0bdf73_5fbaa379_xxxxx_x | 5fbaa379_1
4bff8001_bef81fff_cc83cdf7_xxxxx_x | cc83cdf7_1
b99fe000_3f000001_ba1fdfff_xxxxx_x | ba1fdfff_1
5eae4307_215f7fff_7cc79a18_xxxxx_x | 7cc79a18_1
415c0000_3f7fffff_415c0001_xxxxx_x | 415c0001_1
be001f7f_4780ffff_b5fe427b_xxxxx_x | b5fe427b_1
bc7ff81f_dfba19ac_1c300e52_xxxxx_x | 1c300e52_1
ce0081ff_43c003fe_c9ab546f_xxxxx_x | c9ab546f_1
43c9eac8_3f7ffffe_43c9eaca_xxxxx_x | 43c9eaca_1
74fdffe0_36800078_7dfdfef2_xxxxx_x | 7dfdfef2_1
c0fffff5_df7fc07e_21001fc3_xxxxx_x | 21001fc3_1
be24ce04_3f800000_be24ce04_xxxxx_x | be24ce04_1
ab00ff00_cfefffde_1a89989c_xxxxx_x | 1a89989c_1
4e9f7fff_c22a30d4_cbefeb46_xxxxx_x | cbefeb46_1
c7a257fd_3f800001_c7a257fc_xxxxx_x | c7a257fc_1
3f800000_3e7f003f_40808061_xxxxx_x | 40808061_1
95a7515b_4f047390_8621b1d1_xxxxx_x | 8621b1d1_1
7effdffd_4bc94779_72a2b81f_xxxxx_x | 72a2b81f_1
7efffc3f_3fffffff_7e7ffc40_xxxxx_x | 7e7ffc40_1
438037ff_5e7ffe07_248038fc_xxxxx_x | 248038fc_1
4bfff07f_3fffff3f_4b7ff140_xxxxx_x | 4b7ff140_1
410101ff_400ffffb_406558ea_xxxxx_x | 406558ea_1
ccf00000_c1ffbfdf_4a703c2e_xxxxx_x | 4a703c2e_1
39ffec00_3dffffff_3b7fec01_xxxxx_x | 3b7fec01_1
33fe01ff_81575121_f217002c_xxxxx_x | f217002c_1
3dc00007_40000000_3d400007_xxxxx_x | 3d400007_1
7cec5efc_bffbff7f_fc701ff5_xxxxx_x | fc701ff5_1
3e00009f_be804080_beff807f_xxxxx_x | beff807e_0
5f100010_4e7fdffc_50101214_xxxxx_x | 50101215_0
3a40ffff_40000001_39c0fffd_xxxxx_x | 39c0fffd_1
cf843fff_4bfdffbf_c3054ab6_xxxxx_x | c3054ab6_1
bffe0003_b67cffff_49008186_xxxxx_x | 49008187_0
c313fffe_cf7e0400_331527f9_xxxxx_x | 331527f9_1
40b331de_407fffff_3fb331df_xxxxx_x | 3fb331df_1
bc9e14fd_cbff8080_301e63e0_xxxxx_x | 301e63e0_1
